,Epoch,Test acc MEAN,Test acc STD,Test Acc
0,10,79.06333333333333,0.7558806490151435,79.06 $\pm$ 0.76
1,20,79.53666666666666,1.229643127993739,79.54 $\pm$ 1.23
2,30,80.77666666666666,0.18553226733434441,80.78 $\pm$ 0.19
3,40,80.99333333333333,0.2980305726300914,80.99 $\pm$ 0.3
4,50,81.11333333333333,0.19189117286165625,81.11 $\pm$ 0.19
5,60,80.88666666666666,0.6851925925525495,80.89 $\pm$ 0.69
6,70,82.44666666666667,0.07717224601859925,82.45 $\pm$ 0.08
7,80,82.38333333333334,0.22125902367035039,82.38 $\pm$ 0.22
8,90,82.28666666666666,0.3316959786042318,82.29 $\pm$ 0.33
9,100,82.20333333333333,0.16739839372652818,82.2 $\pm$ 0.17
