Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	16.6748	82.2540	77.9222	86.5147	74.5413
10	imagenet	39.6992	82.7734	73.7800	83.7260	82.1285
10	lsun	39.9463	84.5137	75.6950	86.0007	82.7665
20	svhn	24.9509	83.2296	77.0795	86.5519	78.6974
20	imagenet	17.0105	77.9384	71.9950	79.4091	72.6481
20	lsun	19.2859	79.9900	73.7400	81.7361	74.9235
30	svhn	19.3581	83.5986	77.9972	86.8923	75.8798
30	imagenet	18.7746	79.5729	73.5300	81.4763	73.6667
30	lsun	21.0445	80.6931	74.5550	82.3619	74.9749
40	svhn	9.7978	78.6851	75.3774	83.8597	69.0605
40	imagenet	20.4555	78.0616	71.4000	77.7136	73.3367
40	lsun	22.8021	80.9436	74.2050	82.5915	75.8927
50	svhn	18.8467	83.2774	77.9641	85.4801	75.6904
50	imagenet	15.3460	76.1233	68.9350	71.7080	69.8525
50	lsun	16.1586	78.3054	72.3800	77.4691	71.5378
60	svhn	23.9678	85.4549	80.4057	87.4367	78.7030
60	imagenet	14.2550	75.7010	69.2400	71.1910	69.2119
60	lsun	15.2154	77.7934	71.6350	75.1044	70.8604
70	svhn	19.8564	84.2744	78.0184	77.8330	78.0370
70	imagenet	18.9289	82.3736	71.4700	68.7682	75.2299
70	lsun	17.7826	82.9989	74.1950	72.1817	75.2764
80	svhn	33.2120	87.2198	79.0716	79.3578	82.6881
80	imagenet	19.5366	83.4136	71.9250	68.7355	75.1396
80	lsun	17.5399	83.7687	73.9250	71.1208	74.8743
90	svhn	33.6309	88.5152	79.6874	78.2517	84.1025
90	imagenet	17.7825	84.1481	67.5750	63.2201	73.9179
90	lsun	17.1319	84.6075	69.9450	65.5188	74.7709
100	svhn	40.9876	90.0277	82.8099	84.3601	86.4018
100	imagenet	19.5346	84.2830	69.0350	64.9071	75.8730
100	lsun	19.3182	84.8887	71.6550	67.6501	76.2719
