Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	7.4816	75.8494	75.0084	82.7617	65.5376
10	imagenet	53.6779	85.3320	76.3250	84.3000	86.6973
10	lsun	56.1014	88.0088	78.6400	88.1032	88.1270
20	svhn	10.9944	76.9700	72.5439	80.5166	68.8034
20	imagenet	22.0339	78.3986	71.6800	79.6297	74.5952
20	lsun	22.4373	79.4877	72.7300	81.0874	75.1701
30	svhn	20.8240	82.0372	76.3473	84.4361	75.8948
30	imagenet	14.2036	76.8530	70.8250	74.9499	69.8967
30	lsun	15.8359	78.2793	72.4900	77.5470	71.5376
40	svhn	20.2795	81.8869	76.1977	83.6826	76.1209
40	imagenet	15.6204	77.5535	70.4350	73.9182	71.4761
40	lsun	22.4638	82.0768	74.9250	81.3569	77.6822
50	svhn	7.0955	74.1508	71.7494	77.3151	64.3275
50	imagenet	17.5362	78.4814	72.3300	78.0531	72.8104
50	lsun	20.2567	80.3196	74.1900	80.2504	74.8026
60	svhn	16.4316	79.2146	77.5494	82.6329	74.6628
60	imagenet	14.8611	68.4973	70.8950	71.4767	71.0390
60	lsun	17.5706	81.1617	74.7350	78.1274	74.6155
70	svhn	14.8898	83.7314	75.2815	72.2796	74.1977
70	imagenet	13.2613	82.2508	69.1500	65.1357	71.6616
70	lsun	15.4526	83.2422	71.7650	68.1203	73.5315
80	svhn	14.2040	84.2697	73.9373	69.8267	74.0221
80	imagenet	15.3726	83.8073	69.3450	65.0040	72.7624
80	lsun	16.0003	84.5115	72.2350	68.1037	73.9747
90	svhn	21.3137	86.9359	75.5426	71.2873	79.0033
90	imagenet	14.8629	84.8878	67.5300	62.7257	73.3623
90	lsun	14.5073	85.4725	70.8050	65.8676	74.6570
100	svhn	15.3783	86.4214	69.7873	64.4069	73.7972
100	imagenet	14.3654	85.9527	66.2300	61.2590	71.7340
100	lsun	14.1510	86.3047	68.4700	63.2272	73.0604
