Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	12.6476	79.1325	76.2013	84.6102	70.7537
10	imagenet	59.5157	88.2616	79.1000	87.3709	89.6219
10	lsun	63.4673	90.6213	81.0800	90.6132	91.3066
20	svhn	16.9485	82.1349	77.3644	86.1701	74.5981
20	imagenet	18.2026	76.2359	70.2050	77.2223	71.7195
20	lsun	16.6802	76.4283	71.0600	78.6903	70.9957
30	svhn	10.8668	77.3498	72.8663	79.9772	68.9150
30	imagenet	17.4873	77.8388	71.6650	78.1121	72.8660
30	lsun	19.9156	80.5209	74.3200	82.1105	75.3494
40	svhn	11.9980	77.7551	73.4051	80.9520	69.4589
40	imagenet	20.5812	79.1444	72.1150	78.1737	74.4680
40	lsun	22.1832	81.0968	74.6200	82.1215	76.1880
50	svhn	10.8607	78.3678	74.1065	79.2540	69.1271
50	imagenet	17.6894	79.3830	73.1150	78.0480	72.7440
50	lsun	17.0774	79.9495	74.0450	79.5792	72.9065
60	svhn	13.9069	80.2696	75.8621	83.0179	72.0460
60	imagenet	20.7206	80.3588	73.5550	79.1288	75.5150
60	lsun	17.4766	77.7804	70.9550	74.7277	72.3077
70	svhn	19.9171	83.5785	75.9747	75.0986	77.1539
70	imagenet	19.4551	83.1415	74.2150	72.6393	75.9226
70	lsun	18.8503	83.4805	74.9850	73.7835	75.8368
80	svhn	29.5945	86.3468	76.0196	74.1259	81.6685
80	imagenet	18.1505	83.6388	71.1350	67.5155	75.0634
80	lsun	19.1496	84.3318	72.8850	69.6503	75.9843
90	svhn	24.6456	87.8404	77.4180	73.8904	81.8378
90	imagenet	17.5110	85.3279	68.0450	63.3503	75.2727
90	lsun	18.5002	85.8351	70.4150	65.6620	76.4380
100	svhn	39.9140	88.1597	79.5320	80.8667	85.7488
100	imagenet	15.7294	82.1137	69.1350	65.5779	72.8344
100	lsun	13.8891	82.1758	70.4600	66.9101	72.5640
