,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,45.6 $\pm$ 15.25,83.79 $\pm$ 5.27,75.56 $\pm$ 4.77,82.98 $\pm$ 5.46,84.35 $\pm$ 5.72
1,20,39.04 $\pm$ 24.8,82.54 $\pm$ 8.88,74.97 $\pm$ 7.6,82.04 $\pm$ 9.34,80.57 $\pm$ 11.05
2,30,19.95 $\pm$ 6.39,75.89 $\pm$ 3.09,69.38 $\pm$ 2.15,75.81 $\pm$ 3.3,72.09 $\pm$ 4.21
3,40,28.79 $\pm$ 20.6,79.82 $\pm$ 7.08,72.45 $\pm$ 6.04,77.25 $\pm$ 9.04,75.77 $\pm$ 9.86
4,50,22.28 $\pm$ 9.64,79.82 $\pm$ 2.31,72.64 $\pm$ 2.33,77.39 $\pm$ 5.48,75.08 $\pm$ 5.03
5,60,24.7 $\pm$ 13.98,79.58 $\pm$ 5.16,71.06 $\pm$ 4.61,73.95 $\pm$ 8.28,74.78 $\pm$ 8.03
6,70,26.94 $\pm$ 18.29,84.58 $\pm$ 2.97,72.46 $\pm$ 5.37,71.98 $\pm$ 10.47,76.43 $\pm$ 6.64
7,80,23.2 $\pm$ 6.46,85.53 $\pm$ 1.59,74.73 $\pm$ 4.22,74.6 $\pm$ 8.71,78.13 $\pm$ 3.73
8,90,28.09 $\pm$ 10.13,87.03 $\pm$ 0.86,75.18 $\pm$ 3.89,74.26 $\pm$ 8.51,79.45 $\pm$ 2.65
9,100,18.89 $\pm$ 3.66,85.35 $\pm$ 1.55,75.14 $\pm$ 3.44,74.78 $\pm$ 7.95,77.25 $\pm$ 1.74
