,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,8.66 $\pm$ 1.06,75.71 $\pm$ 1.24,74.62 $\pm$ 1.18,82.61 $\pm$ 0.93,66.13 $\pm$ 1.61
1,20,12.73 $\pm$ 5.85,78.05 $\pm$ 2.5,73.38 $\pm$ 1.73,81.89 $\pm$ 2.38,70.32 $\pm$ 4.06
2,30,10.11 $\pm$ 6.11,74.99 $\pm$ 3.42,71.24 $\pm$ 2.24,79.03 $\pm$ 1.31,66.99 $\pm$ 5.06
3,40,11.94 $\pm$ 8.24,75.12 $\pm$ 8.66,71.27 $\pm$ 6.71,77.25 $\pm$ 9.02,67.64 $\pm$ 9.65
4,50,11.19 $\pm$ 6.75,76.79 $\pm$ 5.19,72.46 $\pm$ 3.91,78.28 $\pm$ 3.59,68.58 $\pm$ 6.53
5,60,14.6 $\pm$ 4.33,80.44 $\pm$ 2.74,75.45 $\pm$ 2.61,82.14 $\pm$ 3.68,72.6 $\pm$ 3.77
6,70,10.32 $\pm$ 6.32,80.34 $\pm$ 5.17,73.38 $\pm$ 1.87,71.68 $\pm$ 0.89,69.71 $\pm$ 6.62
7,80,11.45 $\pm$ 5.97,80.22 $\pm$ 5.8,73.15 $\pm$ 2.81,71.79 $\pm$ 3.72,69.83 $\pm$ 6.9
8,90,10.84 $\pm$ 6.82,78.26 $\pm$ 10.08,71.4 $\pm$ 0.89,68.1 $\pm$ 1.24,69.54 $\pm$ 7.43
9,100,12.44 $\pm$ 7.27,80.63 $\pm$ 7.38,72.25 $\pm$ 2.86,70.06 $\pm$ 2.98,70.19 $\pm$ 8.25
