,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,44.53 $\pm$ 16.64,84.84 $\pm$ 5.43,76.52 $\pm$ 5.09,85.42 $\pm$ 5.11,84.4 $\pm$ 6.01
1,20,37.05 $\pm$ 19.43,83.35 $\pm$ 6.11,75.72 $\pm$ 4.54,83.93 $\pm$ 5.16,81.09 $\pm$ 8.76
2,30,23.0 $\pm$ 9.92,79.41 $\pm$ 4.04,72.97 $\pm$ 2.74,81.17 $\pm$ 3.86,74.91 $\pm$ 5.58
3,40,31.7 $\pm$ 22.44,81.86 $\pm$ 6.69,74.72 $\pm$ 5.49,80.49 $\pm$ 7.48,77.78 $\pm$ 9.36
4,50,23.04 $\pm$ 8.36,81.14 $\pm$ 1.86,74.1 $\pm$ 1.35,79.28 $\pm$ 3.55,76.32 $\pm$ 3.92
5,60,29.03 $\pm$ 15.98,81.6 $\pm$ 4.95,73.94 $\pm$ 3.58,79.52 $\pm$ 5.44,77.85 $\pm$ 7.37
6,70,29.33 $\pm$ 18.27,85.73 $\pm$ 2.63,75.5 $\pm$ 4.16,75.12 $\pm$ 8.65,78.57 $\pm$ 5.57
7,80,24.81 $\pm$ 6.45,85.94 $\pm$ 0.66,76.9 $\pm$ 3.89,77.18 $\pm$ 8.05,79.51 $\pm$ 3.6
8,90,29.19 $\pm$ 9.11,87.85 $\pm$ 0.84,77.15 $\pm$ 3.73,76.59 $\pm$ 8.2,80.39 $\pm$ 2.5
9,100,19.79 $\pm$ 6.33,86.82 $\pm$ 1.0,76.59 $\pm$ 4.08,75.97 $\pm$ 8.25,78.22 $\pm$ 2.34
