Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	17.0463	82.6150	78.5793	87.0299	74.7242
10	imagenet	50.8828	86.8157	77.0000	87.2420	86.8947
10	lsun	53.1594	88.3065	79.1500	88.8653	87.9629
20	svhn	23.2493	83.2156	76.6258	86.7994	77.0855
20	imagenet	19.6965	74.0571	68.1500	71.0291	70.9088
20	lsun	22.4801	79.5408	72.9650	81.0597	74.6777
30	svhn	10.7298	76.0755	73.0164	79.3191	67.5820
30	imagenet	17.9681	78.7801	72.0450	77.5155	73.3473
30	lsun	22.1037	82.2652	75.6250	82.8363	77.1225
40	svhn	13.5841	79.5930	75.1400	83.0906	70.9511
40	imagenet	18.3607	75.1266	71.2300	77.1775	72.2601
40	lsun	23.0751	81.6504	75.1000	82.7784	76.1222
50	svhn	12.7452	78.6491	74.0468	78.3458	70.4211
50	imagenet	17.8676	79.8877	73.5900	77.4339	74.2153
50	lsun	19.5115	80.6809	74.2050	78.2557	75.4574
60	svhn	13.9578	80.7179	75.8239	82.1557	72.3187
60	imagenet	15.9355	77.0970	69.7100	71.8103	70.5392
60	lsun	16.5790	78.7936	72.4350	76.7168	71.7216
70	svhn	15.6554	82.9885	76.8354	75.8529	74.4706
70	imagenet	17.3239	82.1374	71.6300	69.0372	73.5737
70	lsun	14.5146	81.9031	72.5600	70.0039	72.1716
80	svhn	20.8642	83.7815	71.3944	67.6257	76.0522
80	imagenet	17.3688	83.8687	71.8450	68.1582	74.3357
80	lsun	13.5642	83.1147	71.2150	67.2228	71.9876
90	svhn	21.1106	85.3961	73.7467	69.8551	77.8611
90	imagenet	17.4442	84.5108	70.1400	65.8606	74.5350
90	lsun	15.7373	84.4279	71.0750	66.7324	73.7974
100	svhn	20.1541	87.3422	73.3580	68.3069	78.7698
100	imagenet	16.7512	86.3805	68.4050	63.3546	74.8716
100	lsun	16.3581	86.5480	69.7650	64.6062	74.9004
