Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	25.8221	85.0953	79.2806	88.4025	79.6356
10	imagenet	39.8808	82.6287	73.6200	83.3939	82.1508
10	lsun	40.5605	83.7720	74.7000	84.4094	82.8139
20	svhn	16.9942	80.6834	75.7278	84.6898	73.9053
20	imagenet	16.8211	75.3442	68.7350	74.7727	70.9521
20	lsun	19.8371	77.6644	72.1400	80.0198	74.2902
30	svhn	4.9392	68.9448	66.6562	73.8988	60.3914
30	imagenet	15.3204	75.0041	69.1350	75.3523	69.0878
30	lsun	16.2083	77.4980	71.6350	79.7301	70.8035
40	svhn	17.3690	81.3265	76.0714	84.9726	74.3193
40	imagenet	13.7656	72.2121	65.5350	68.5938	66.9649
40	lsun	16.0484	75.5597	69.2900	74.6407	70.0460
50	svhn	15.5536	81.0891	77.0518	83.2808	72.8129
50	imagenet	13.3592	76.2551	69.6250	71.3784	68.6363
50	lsun	15.8840	78.9263	72.8800	77.1170	71.5140
60	svhn	12.3536	78.3584	73.5640	79.4022	70.1383
60	imagenet	11.8003	65.1586	66.5150	67.6549	66.8102
60	lsun	14.0969	77.2661	70.9900	74.8025	70.3571
70	svhn	12.7437	83.1539	73.2205	69.6463	72.6408
70	imagenet	11.5277	81.1558	65.5400	61.5224	68.9299
70	lsun	11.8142	81.8397	69.1550	64.9704	70.2479
80	svhn	14.2720	84.7380	69.5516	64.6261	73.6216
80	imagenet	12.3046	83.6585	64.1600	59.7781	69.7569
80	lsun	11.8024	83.7634	65.5350	60.8831	70.0464
90	svhn	13.3034	82.8581	71.7835	68.0252	73.3487
90	imagenet	12.1357	81.3491	65.7450	61.7668	69.8915
90	lsun	11.5289	84.6749	63.5950	59.1076	69.5426
100	svhn	16.3703	86.1701	71.5865	66.5049	75.6690
100	imagenet	10.9940	84.0665	61.9100	57.8425	68.2630
100	lsun	10.5270	84.3311	63.8150	59.3082	69.0897
